UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
UEI-IMD-FL-2016-0038,2016-01-06,2016-09-28,266,Heavy rains & floods,NA,"Ahmedabad, Amreli, Bharuch, Bhavnagar, Batod, Chhota Udaiur, Devbhoomi Dwarka, Dohad, Gandhinagar, Gir Somanath,  Jamnagar, Junagadh, Kutch, Mehsana, Morbi, Navsari, Panchmahal, Patan, Rajkot, Sabarkantha, Sundarnagar, Tapi, The Dangs, Vadodara, Valsad ",GUJARAT,NA,NA,NA,NA,81,4,NA,220,"Total 81 persons died.  Ahmedabad ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3, Amreli ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 2, Bharuch ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 1, Bhavnagar ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 1, BatodÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“1, Chhota Udaiur ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 5, Devbhoomi Dwarka ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 2, Dohad ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3, Gandhinagar ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 2, Gir Somanath ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 2,  Jamnagar ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 2, Junagadh ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 6, Kutch ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 1, Mehsana ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 1, Morbi ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 2, Navsari ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3, Panchmahal ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 10, Patan ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 2, Rajkot ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 6, Sabarkantha ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 2, Sundarnagar ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 1, Tapi ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 1, The Dangs ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 10, Vadodara ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 1, Valsad ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 11. While 4 persons injured & 220 animals perished. ","i) 12,121 population affected. ii) 3 houses fully & 125 houses partially damaged.  ",IMD,NA
UEI-IMD-FL-2016-0039,2016-10-05,2016-10-05,0,Cloud Burst,NA,Shimla ,HIMACHAL PRADESH,NA,NA,NA,NA,5,3,NA,NA,5 persons died & 3 others injured.,"i) Damage to crops reported. ii) Damage to cow-shed reported.  iii) Electricity, water & Telephone services disrupted. iv) Scorpio car washed away",IMD,NA
UEI-IMD-FL-2016-0040,2016-06-15,2016-06-16,1,Heavy rains,NA,"Kullu, Mandi, Solan ",HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,2 animals perished,i) Damage to crops reported. ii) Complete damage to gate of a school & 2 cow-sheds reported. iii) National Highway remained closed. ,IMD,NA
UEI-IMD-FL-2016-0041,2016-03-07,2016-04-07,31,Heavy rains,NA,"Chamba, Kangra, Shimla ",HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IMD,NA
UEI-IMD-FL-2016-0042,2016-10-07,2016-07-17,Diffing the dates,Cloud Burst,NA,"Chamba, Kinnaur ",HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Apple, Deodar trees uprooted causing loss of lakhs of rupees. ii) Electricity generation in BASPA hydropower project in Kinnaur Dist. stopped.  iii) Damage to many houses & small bridges reported. iv) National Highways remained closed. ",IMD,NA
UEI-IMD-FL-2016-0043,2016-07-23,2016-07-31,8,Heavy rains & landslide,NA,"Hamirpur,  Kullu, Shimla,  Sirmaur, Solan ",HIMACHAL PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 persons died due to landslide in Sirmaur Dist. ,"i) Damage to crops reported. ii) Damage to many houses, Hotels reported. iii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.  ",IMD,NA
UEI-IMD-FL-2016-0044,2016-01-08,2016-02-08,31,Heavy rains,NA,"Chamba, Hamirpur, Kangra, Kullu, Mandi, Shimla Sirmaur, Una",HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One child died in Una Dist,"i) Extensive damage to crops reported. ii) Damage to shops, houses & buildings reported. iii) Damage to bridges reported. iv) Damage to railway track reported",IMD,NA
UEI-IMD-FL-2016-0045,2016-05-08,2016-07-08,61,Heavy rains & Landslide,NA,"Bilaspur, Chamba, Hamirpur, Kangra, Kullu, Mandi, Shimla, Solan, Una ",HIMACHAL PRADESH,NA,NA,NA,NA,NA,1,NA,11,i) One woman died & other injured due to landslide in Chamba Dist. on 7th August. ii) 11 buffaloes perished in Kangra Dist,"i) Extensive damage to the crops reported. ii) Damage to cow-shed, houses reported. iii) Damage to bridges reported. iv) Damage to roads & railway track reported",IMD,NA
UEI-IMD-FL-2016-0046,2016-10-08,2016-12-08,61,Heavy rains,NA,"Bilaspur, Chamba, Hamirpur, Kangra, Kinnaur,  Kullu, Mandi",HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One person died & other injured due to wall collapse in Shimla Dist. ,"i) Partial damage to houses, cow-sheds reported. ii) Several trees uprooted & fell on vehicles causing damage",IMD,NA
UEI-IMD-FL-2016-0047,2016-08-17,2016-08-18,1,Heavy rains,NA,"Shimla, Sirmaur, Solan, Una ",HIMACHAL PRADESH,NA,NA,NA,NA,2,5,NA,NA,2 persons died & 5 others injured as wall collapsed. ,iii) Vehicular traffic disrupted due to damage of roads.  ,IMD,NA
UEI-IMD-FL-2016-0048,2016-08-25,2016-08-26,1,Heavy rains & cloud burst in Shimla.,NA,"Bilaspur, Chamba, Hamirpur, Kangra, Kullu, Mandi, Shimla, Sirmaur, Solan, Una ",HIMACHAL PRADESH,NA,NA,NA,NA,5,1,NA,NA,5 persons died & other missing due to cloud burst in Shimla Dist. ,i) Damage to many apple orchards reported. ii) Several trees uprooted causing loss of lakhs of rupees. ,IMD,NA
UEI-IMD-FL-2016-0049,2016-12-05,2016-12-05,0,Heavy rain,NA,Ramban,JAMMU & KASHMIR,NA,NA,NA,NA,3,NA,NA,NA,3 children washed away in Batote town. ,Damage to several houses reported. ,IMD,NA
UEI-IMD-FL-2016-0050,2016-07-06,2016-07-06,0,Heavy rain,NA,"Anantnag, Bandipora ",JAMMU & KASHMIR,NA,NA,NA,NA,2,NA,NA,NA,"2 persons died, one in each Dist. ",i) Extensive damage to fruits & vegetables reported.  ii) Damage to many houses & government buildings reported.,IMD,NA
UEI-IMD-FL-2016-0051,2016-07-27,2016-07-27,0,Flash Flood,NA,"Jammu, Rajouri ",JAMMU & KASHMIR,NA,NA,NA,NA,3,NA,NA,NA,Total 3 persons died. 2 girls washed away in Janipur area of Jammu Dist. & one woman died due to wall collapsed in Rajouri Dist.,Damage to the public & private property reported. ,IMD,NA
UEI-IMD-FL-2016-0052,2016-05-08,2016-05-08,0,Heavy rains & Landslide,NA,"Kathua, Reasi ",JAMMU & KASHMIR,NA,NA,NA,NA,5,9,NA,NA,Total 5 persons died. 4 persons including 3 pilgrims of Mata Vaisho Devi died & 9 others injured due to landslide in Reasi Dist. While one engineer washed away in Kathua Dist. ,NA,IMD,NA
UEI-IMD-FL-2016-0053,2016-06-08,2016-07-08,30,Heavy rains & Cloud brust,NA,"Doda, Kathua, Pulwama ",JAMMU & KASHMIR,NA,NA,NA,NA,2,7,NA,NA,2 persons died & 7 other injured,Damage to several houses reported,IMD,NA
UEI-IMD-FL-2016-0054,2016-08-24,2016-08-24,0,Flash Flood in Tawi river & Landslide,NA,"Jammu, Reasi ",JAMMU & KASHMIR,NA,NA,NA,NA,3,NA,NA,NA,Total 3 persons died. 2 persons washed away in Tawi river in Jammu Dist. One CRPF man died in Reasi Dist,NA,IMD,NA
UEI-IMD-FL-2016-0055,2016-03-07,2016-05-07,61,Heavy rain,NA,"Chatra, Garhwa, Hazaribagh, Ramgarh, Ranchi (Jharkhand) ",JHARKHAND,NA,NA,NA,NA,2,NA,NA,NA,2 person died,i)Damage to 1008 Katcha houses reported. ii) Damage to some small bridges reported. iii) Vehicles washed away.,IMD,NA
UEI-IMD-FL-2016-0056,2016-03-08,2016-03-08,0,Heavy rain,NA,Ramgarh,JHARKHAND,NA,NA,NA,NA,1,11,NA,2,"One person died, 11 others injured & 2 cattle heads perished",NA,IMD,NA
UEI-IMD-FL-2016-0057,2016-12-08,2016-12-08,0,Heavy rain,NA,East Singhbhum ,JHARKHAND,NA,NA,NA,NA,4,NA,NA,NA,4 persons died in Jameshedpur,Damage to 3 bridges reported,IMD,NA
UEI-IMD-FL-2016-0058,2016-08-16,2016-08-18,2,Heavy rain,NA,"Chatra, Garhwa, Hazaribagh, Khunti,  Ranchi ",JHARKHAND,NA,NA,NA,NA,9,NA,NA,NA,9 persons died & other injured,i) Damage to 4 bridges & 8 katcha houses reported. ii) 100 trees uprooted.,IMD,NA
UEI-IMD-FL-2016-0059,2016-08-22,2016-08-23,1,Heavy rain,NA,"Garhwa, Hazaribagh, Khunti,  Ranchi ",JHARKHAND,NA,NA,NA,NA,NA,NA,NA,NA,One cattle heads perished. ,i) Damage to 2 bridges reported. ii) Damage to many katcha houses reported,IMD,NA
UEI-IMD-FL-2016-0060,2016-09-09,2016-12-09,91,Heavy rain,NA,"Chatra, Hazaribagh, Khunti, Ranchi ",JHARKHAND,NA,NA,NA,NA,1,7,NA,NA,"One person died, 7 others injured & 4 cattle heads perished.",i) Damage to standing crops reported. ii) Damage to 10 mud houses reported. ,IMD,NA
UEI-IMD-FL-2016-0061,2016-09-10,2016-09-10,0,Heavy rain,NA,"Chatra, Hazaribag",JHARKHAND,NA,NA,NA,NA,1,NA,NA,4,One person died & 4 cattle heads perished. ,One bridge washed away,IMD,NA
UEI-IMD-FL-2016-0062,2016-06-20,2016-06-20,0,Heavy rain,NA,Raichur,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,girl died,NA,IMD,NA
UEI-IMD-FL-2016-0063,2016-06-22,2016-06-22,0,Heavy rain,NA,"Dakshina Kannada, Udupi",KARNATAKA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,NA,IMD,NA
UEI-IMD-FL-2016-0064,2016-06-27,2016-06-27,0,Heavy rain,NA,Dakshina Kannada,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,man died,NA,IMD,NA
UEI-IMD-FL-2016-0065,2016-03-07,2016-06-07,92,Heavy rain,NA,"Dakshina Kannada, Uttara Kannada",KARNATAKA,NA,NA,NA,NA,NA,NA,NA,1,cow perished,i) Damage to many houses reported. ii) Several trees uprooted.,IMD,NA
UEI-IMD-FL-2016-0066,2016-11-07,2016-12-07,30,Heavy rain,NA,"Belgaum, Chikkamagalur, Kodagu, Uttar Kanada",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died  in Chikkamagalur Dist. &  4 persons injured in Kodagu Dist,i) Damage of about 90 houses fully & 200 houses partially reported. ii) Several trees/electric poles uprooted causing vehicular traffic & power supply disruption.,IMD,NA
UEI-IMD-FL-2016-0067,2016-07-15,2016-07-15,0,Heavy rain,NA,Bagalkot,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) 2 villages named Mutturu & Kanankanvadi in Jamakhandi taluk submerged as water was released following heavy rains in Maharashtra & Belgaum Dist.  ii) Vegetables grown on hundreds of acers completely washed away. iii) Quarry cement factory flooded,IMD,NA
UEI-IMD-FL-2016-0068,2016-07-22,2016-07-22,0,Heavy rain,NA,"Gulbarga, Uttar Kanada",KARNATAKA,NA,NA,NA,NA,1,NA,NA,6,"One person drowned in Mullamari river Iragapali village, Chincholi taluk in Gulbarga Dist. 6 livestock perished.",i) Damage to standing crops reported ii) Damage to 20 irrigation pumps set reported. iii) Partial damage to 279 houses reported iv) Damage to Govt. School building reported as a huge tree fell.  ,IMD,NA
UEI-IMD-FL-2016-0069,2016-07-29,2016-07-29,0,Heavy rain,NA,Banglore,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) About 3000 houses affected. ii) Damage to few cars & two-wheelers reported.,IMD,NA
UEI-IMD-FL-2016-0070,2016-07-31,2016-07-31,0,Heavy rain,NA,Gulbarga,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Hundreds acres of crops washed away. ii) Damage to historic Hazrat Safdar Darga reported.,IMD,NA
UEI-IMD-FL-2016-0071,2016-05-08,2016-09-08,123,Heavy rains & Floods in Krishna river,NA,"Bagalkot, Belgaum, Raichur, Yadgir ",KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One boatman washed away in Raichur Dist.,"i) Extensive damage to standing crops of Toor, Cotton reported. ii) Several villages on Krishna river bank inundated. iii) Bridges inundated in Belgaum & Raichur Dist.",IMD,NA
UEI-IMD-FL-2016-0072,2016-08-18,2016-08-18,0,Heavy rain,NA,Hassan,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agricultural crops worth lakhs of rupees destroyed.,IMD,NA
UEI-IMD-FL-2016-0073,2016-09-15,2016-09-16,1,Heavy rain,NA,"Bidar, Gulbarga, Raichur ",KARNATAKA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,i) Damage to 500 acres of crops reported. ii) Human life disrupted.  iii) Partial damage to more than 29 houses reported.,IMD,NA
UEI-IMD-FL-2016-0074,2016-09-22,2016-09-26,4,Heavy rain,NA,"Bidar, Gulbarga, Raichur ",KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One boy drowned in Bidar Dist,"i) Damage to 84,991 hectares standing crops reported. ii) Damage to as many as 2900 houses reported",IMD,NA
UEI-IMD-FL-2016-0075,2016-12-13,2016-12-14,1,Heavy rain,NA,"Hassan , Kodagu, Mysore ",KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coffee & Paddy harvest affected badly,IMD,NA
UEI-IMD-FL-2016-0076,2016-04-14,2016-04-14,0,Heavy rain,NA,Kannur ,KERALA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died as compound wall collapsed on them.,Partial damage to one house reported.,IMD,NA
UEI-IMD-FL-2016-0077,2016-05-31,2016-05-31,0,Heavy rain,NA,Kozhikode,KERALA,NA,NA,NA,NA,1,NA,NA,NA,One person died due to wall collapsed,12 feet high compound wall collapsed.,IMD,NA
UEI-IMD-FL-2016-0078,2016-07-06,2016-09-06,62,"Heavy rains, flood  & Landslides",NA,"Idukki,  Kottayam, Thiruvananthapuram, Wayanad ",KERALA,NA,NA,NA,NA,1,NA,NA,NA,"One person died & other injured in Idukki Dist. due to landslide on 7th June. One person injured in Sreekaryam in Thiruvananthapuram Dist. One person died as a huge rock fell over him in Wayanad Dist, on 8th June. ","Idukki : Complete damage to a house reported, Kottayam :   i) One Anganvadi building collapsed in Thazhangadi.  ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply, Thiruvananthapuram :  i) Damage to vegetable crops reported as fields submerged. ii) 3 wells caved in. iii) Damage to more than 25 houses including house-hold appliances, Taluka office, dispensary, shop & a compound wall of a school   reported.  iv) More than 11 KV line broke & functioning of 4 transformers disrupted. v) In Kazhakootam, nearby houses inundated as Tettayar river flooded, Wayanad :  A house completely damaged as a huge rock fell from 50 feet. ",IMD,NA
UEI-IMD-FL-2016-0079,2016-10-06,2016-06-13,Diffing the dates,Heavy rain,NA,"Idukki,  Kannur, Kollam, Pathanamthitta,  Thiruvananthapuram, Wayanad",KERALA,NA,NA,NA,NA,4,1,NA,NA,One person injured in each Idukki & Pathanamthitta Dist. 2 persons including a child died in Kannur Dist. One person injured in Thiruvananthapuram Dist.,"Idukki  & Pathanamthitta :  15 houses completely & 128 houses partially damaged, Kannur :  730 mts. long & 71/2 feet high compound wall of a house damaged, Kollam :  i) 9 houses completely, 134 partially & several cowsheds damaged. ii) Several houses inundated. iii) Many electric cable lines broke, Thiruvananthapuram :  i) Extensive damage to agricultural crops, vegetables, Banana crops, Tapioca reported.  ii) Rs.7.25 lakhs worth damage reported. iii) 210 Rubber trees & 150 Banana plants & 7 electric posts uprooted in Pothencode area. iv) Low lying areas inundated. v) Well caved in. vi) Damage to vehicles reported. vii) 12 houses completely & 22 partially damaged. Roofs of many houses blown away. viii) Side wall of a bridge collapsed. ix)  Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply, Wayanad  :  One house completely damaged.",IMD,NA
UEI-IMD-FL-2016-0080,2016-06-16,2016-06-19,3,Heavy rain,NA,"Alappuzha, Ernakulam, Idukki, Kollam, Kottayam, Malappuram, Thrissur, Thiruvananthapuram, Wayanad ",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,Several students injured in Kuttanam in Alappuza Dist,"Alappuzha : i) 33 houses completely, 38 partially & one Anganwadi damaged. ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply, Ernakulam, Idukki, Kollam, Kottayam, Malappuram, Thrissur: Damage to total 175 houses reported, Ernakulam - 28 completely ;  Idukki - 7 completely & 69 partially;  Kollam - 11 completely ;  Kottayam - 55 completely ;  Malappuram - 1 completely ;  Thrissur - 4 completely damaged, Thiruvananthapuram : i) Damage to 1.53 hectares of vegetable crops, 1.25 lakh banana crops reported. ii) More than 35 houses completely & more than 430 houses partially damaged.  iii) Loss of worth Rs.10.1 crores damage reported. iv) Damage to 1.53 hectares of vegetable crops, 1.25 lakh banana crops reported v) Crores worth damage reported by KSEB as more than 2000 electric poles, one transformer 11 KV line, 50 electric cable lines damaged. vi) 30 families shifted to relief camps from Pallichal area. vii) Damage to 122 mts. Long Akashwani tower reported. viii)  Damage to an Auto-rikshaw reported. viii)Several trees uprooted causing disruption in vehicular traffic. Wayanad: i) 4 houses partially damaged. ii) Several trees uprooted causing disruption in vehicular traffic.",IMD,NA
UEI-IMD-FL-2016-0081,2016-06-26,2016-06-29,3,Heavy rain,NA,"Kasragod, Malappuram, Wayanad",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,"20 hectares of agriculture land belonging to 157 farmers damaged causing loss of worth crores. Paddy, Ginger, Banana Damage to crops reported. ii) 52 families from different areas shifted to relief camps. iii) 4 wells caved in. iv) Full damage to 2 houses & partial damage to 106 houses reported. Also damage to 3 rooms of Higher Secondary School building reported. v) Low lying areas inundated. vi) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",NA,IMD,NA
UEI-IMD-FL-2016-0082,2016-02-07,2016-02-07,0,Heavy Rain,NA,Wanayad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Damage to 69 hectares agriculture crops reported due to which 444 farmers affected. ii) 22 houses fully & 65 partially damaged.   iii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,NA
UEI-IMD-FL-2016-0083,2016-10-07,2016-07-15,Diffing the dates,Heavy Rain,NA,"Idukki, Kasaragod, Wanayad",KERALA,NA,NA,NA,NA,1,NA,NA,NA,One person died in Kasaragod Dist. & other injured in Idukki Dist.,"i) 4 houses, shop & five storied building under construction by the wayside of Kozikode-Mysore NH_212 collapsed.  ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.",IMD,NA
UEI-IMD-FL-2016-0084,2016-09-18,2016-09-18,0,Landslide,NA,Kozhikode,KERALA,NA,NA,NA,NA,6,NA,NA,NA,6 students died.,NA,IMD,NA
UEI-IMD-FL-2016-0085,2016-06-30,2016-06-30,0,Floods & Heavy rains,NA,Bhopal,MADHYA PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One person drown,NA,IMD,NA
UEI-IMD-FL-2016-0086,2016-06-07,2016-06-07,0,Floods & Heavy rains,NA,"Rewa, Sehore ",MADHYA PRADESH,NA,NA,NA,NA,6,NA,NA,NA,"6 person died Rewa ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 5, Sehore - 1",NA,IMD,NA
UEI-IMD-FL-2016-0087,2016-07-07,2016-07-07,0,Flood in Tamas river,NA,"Bhind, Panna, Rewa ",MADHYA PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3 persons died,i) Damage to 2 dams reported. ii) More than 50 villages in Tyonthar and Sirmaur blocks of Rewa Dist. cut off from the other parts of the state due to rising water in the river ,IMD,NA
UEI-IMD-FL-2016-0088,2016-08-07,2016-10-07,61,Floods & Heavy rains,NA,"Bhopal, Damoh, Malda, Morena, Seoni",MADHYA PRADESH,NA,NA,NA,NA,11,NA,NA,NA,11 persons died,The excessive rains have affected at least 3 lakh 46 thousand people,IMD,NA
UEI-IMD-FL-2016-0089,2016-02-08,2016-02-08,0,Heavy rains,NA,Vidisha,MADHYA PRADESH,NA,NA,NA,NA,4,NA,NA,NA,4 persons died,NA,IMD,NA
UEI-IMD-FL-2016-0090,2016-08-19,2016-08-20,1,Floods & Heavy rains,NA,"Raisen, Rewa, Sagar, Satna, Vidisha",MADHYA PRADESH,NA,NA,NA,NA,23,NA,NA,NA,23 persons died,"i) More than one lakh people affected. ii) Damage to many houses, Cow-sheds reported. iii) Bridge washed away",IMD,NA
UEI-IMD-FL-2016-0091,2016-05-21,2016-05-21,0,Heavy rain,NA,"Bhandara, Gadchiroli, Gondia ",MAHARASHTRA,NA,NA,NA,NA,2,1,NA,100,i)2 person died & one girl injured due to wall collapsed in Gondia Dist. ii) 100 hens perished.,i) Damage to 568 houses reported. ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.,IMD,NA
UEI-IMD-FL-2016-0092,2016-06-06,2016-06-06,0,Heavy rain,NA,Parts of Maharashtra,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
UEI-IMD-FL-2016-0093,2016-06-20,2016-06-20,0,Heavy rain,NA,Mumbai,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,22 trees uprooted causing disruption in vehicular traffic. ,IMD,NA
UEI-IMD-FL-2016-0094,2016-06-25,2016-06-25,0,Heavy rain,NA,Mumbai,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,NA,IMD,NA
UEI-IMD-FL-2016-0095,2016-01-07,2016-03-07,60,Heavy rain,NA,"Ahmednagar, Dhule, Jalgaon, Mumbai, Nandurbar, Nashik, Pune",MAHARASHTRA,NA,NA,NA,NA,11,NA,NA,NA,11 person died,NA,IMD,NA
UEI-IMD-FL-2016-0096,2016-08-07,2016-10-07,61,Heavy rain,NA,"Chandrapur, Gadchiroli, Nandurbar",MAHARASHTRA,NA,NA,NA,NA,9,2,NA,50,Total 9 persons died. 6 persons died in Chandrapur Dist. due to flood in Wainganga river. While 3 persons died & 2 others missing in Pachorabari village of Nandurbar Dist. 50 livestock perished,i) Damage to 200 houses reported. ii) Damage to railway track reported.,IMD,NA
UEI-IMD-FL-2016-0097,2016-11-07,2016-12-07,30,Heavy rain,NA,Kolhapur & Konkan region,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,One person died in Konkan region.,i) 31 roads including 22 main roads and 9 highways are completely under water in Kolhapur Dist.  ii) Around 80 villages lost contact from rest of the state in Konkan region.,IMD,NA
UEI-IMD-FL-2016-0098,2016-12-07,2016-12-07,0,Heavy rain,NA,"Akola, Amravati, Chandrapur, Gadchiroli Yavotmal, Washim",MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,More than 100 villages marooned.,IMD,NA
UEI-IMD-FL-2016-0099,2016-07-28,2016-07-28,0,Heavy rain,NA,"Akola, Amravati ",MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,Damage to many house,IMD,NA
UEI-IMD-FL-2016-0100,2016-07-30,2016-07-31,1,Heavy rain,NA,Mumbai,MAHARASHTRA,NA,NA,NA,NA,1,4,NA,NA,One person died as tree fell on him & 4 others injured. ,i) Damage to Ground-plus-three structure building & security cabin reported. ii) A car & an auto-rickshaw damaged as tree fell on it.,IMD,NA
UEI-IMD-FL-2016-0101,2016-01-08,2016-01-08,0,Heavy rain,NA,Thane,MAHARASHTRA,NA,NA,NA,NA,9,10,NA,NA,9 persons died & 10 others injured. ,i) Dilapidated building collapsed. ii) Water logging in low lying areas reported,IMD,NA
UEI-IMD-FL-2016-0102,2016-02-08,2016-02-08,0,Flood in Godavari,NA,Nashik,MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,5 persons drowned. ,NA,IMD,NA
UEI-IMD-FL-2016-0103,2016-03-08,2016-03-08,0,Flood in Savitri River,NA,Raigad ,MAHARASHTRA,NA,NA,NA,NA,27,14,NA,NA,27 persons drowned & 14 others missing.,2 MSRTC (Maharashtra State Road transport Corporation) buses & several other vehicles washed away as a bridge on the Savitri River collapsed near Mahad in Raigad district of Maharashtra on Mumbai - Goa highway on 2nd August at late night,IMD,NA
UEI-IMD-FL-2016-0104,2016-09-24,2016-09-26,2,Heavy rain & Flash Flood,NA,Parts of Maharashtra,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,NA,IMD,NA
UEI-IMD-FL-2016-0105,2016-02-10,2016-04-10,60,Heavy rain & Flash Flood,NA,"Beed, Latur, Osmanabad, Nanded in Marathwada region",MAHARASHTRA,NA,NA,NA,NA,5,NA,NA,36,5 persons drown & 36 animals perished,"About 50% of the Kharif crops viz. Soya bean, Cotton, tur and Jowar were damaged. Soya bean, which is one of the major crops of Marathwada, suffered a damage of about Rs.2500 crores over an area of about 15 lakh hectares.",IMD,NA
UEI-IMD-FL-2016-0106,2016-05-23,2016-05-23,0,Landslide,NA,Aizwal,MIZORAM,NA,NA,NA,NA,3,1,NA,NA,3 persons died & one other injured,Airport approach road National Highway -54 remained closed,IMD,NA
UEI-IMD-FL-2016-0107,2016-09-18,2016-09-18,0,Landslide,NA,Aizwal,MIZORAM,NA,NA,NA,NA,5,NA,NA,NA,5 persons died.,Roads blocked. Traffic & power supply disrupted,IMD,NA
UEI-IMD-FL-2016-0108,2016-03-08,2016-08-08,153,Heavy rain,NA,"Koraput, Sambalpur ",MIZORAM,NA,NA,NA,NA,2,NA,NA,NA,"2 persons died, one in each dist ",NA,IMD,NA
UEI-IMD-FL-2016-0109,2016-11-07,2016-11-07,0,Heavy rain,NA,Baran,RAJASTHAN,NA,NA,NA,NA,2,NA,NA,NA,2 persons drowned,10 villages from Alwar district & 36 villages from Baran districts cut off from nearby areas,IMD,NA
UEI-IMD-FL-2016-0110,2016-07-15,2016-07-15,0,Heavy rain,NA,Jaipur,RAJASTHAN,NA,NA,NA,NA,1,NA,NA,NA,One child drowned,NA,IMD,NA
UEI-IMD-FL-2016-0111,2016-07-28,2016-07-28,0,Heavy rain,NA,Ganganagar,RAJASTHAN,NA,NA,NA,NA,1,NA,NA,NA,One person drowned,NA,IMD,NA
